feature,pooled_epsilon_sq,gender_epsilon_sq,male_within_epsilon_sq,female_within_epsilon_sq,male_female_rank_corr,type
f006_conv_jitter,0.0049759568721555745,0.007835842860460098,0.04679743409504407,0.0015338927921433175,-0.1785714285714286,B_gender_dependent
f006_conv_shimmer,0.004551682768164817,0.06332062808672154,0.020734367619054436,0.005573097961583749,0.0,B_gender_dependent
f006_f0_motion_energy,0.008509903975148081,0.0874833307974344,0.012563072636817685,0.005582946907860979,-0.39285714285714296,B_gender_dependent
f006_n_cycles,0.02463054897835006,0.23339147517920372,0.07422788868509886,0.02646901204073916,-0.21428571428571433,B_gender_dependent
f006_resid_jitter,0.0050105803676426305,0.006862205049816445,0.046846721587932065,0.001358212068349168,-0.14285714285714288,B_gender_dependent
f006_resid_shimmer,0.0023063952371215344,0.0229974299993686,0.011362323599368337,0.004040804820688316,-0.42857142857142866,B_gender_dependent
