feature,n,nan_pct,inf_pct,zero_pct,is_constant,mean,std,median,iqr,min,max,outlier_pct_iqr1.5
f006_conv_jitter,1400,0.0,0.0,0.0,False,0.15654893732387656,0.0250295753435209,0.15599718783481287,0.033860471462477726,0.079112858724435,0.2549956542723242,1.0
f006_conv_shimmer,1400,0.0,0.0,0.0,False,0.16334651956253368,0.05950373460324764,0.1516526505308461,0.06273649139380708,0.0500330292670274,0.5468715125244269,4.928571428571429
f006_f0_motion_energy,1400,0.0,0.0,0.0,False,44.36151669232082,13.85331685158224,44.496854041413435,18.69770846959652,0.4711114759027574,95.75535352064962,0.4285714285714286
f006_n_cycles,1400,0.0,0.0,0.0,False,878.1514285714286,544.9335585190594,760.0,603.5,88.0,7025.0,3.785714285714286
f006_resid_jitter,1400,0.0,0.0,0.0,False,0.1570247715395964,0.024914614328666203,0.1565050342751528,0.03359301496474568,0.0796850067561355,0.2552168074481397,1.0714285714285714
f006_resid_shimmer,1400,0.0,0.0,0.0,False,0.14985016034471543,0.06698048188068395,0.13715162804850933,0.06712028710440197,0.0396113844127011,0.5724602085344769,5.214285714285714
