feature,label,epsilon_sq,p_value,h_stat,effect_label,lowest_group,highest_group
f006_n_cycles,situation,0.02463054897835006,3.95813272562719e-07,40.31035472684163,작음,sadness,surprise
f006_f0_motion_energy,situation,0.008509903975148081,0.0066068211941057295,17.854296237381277,무시할 수준,fear,neutral
f006_resid_jitter,situation,0.0050105803676426305,0.043358832541388254,12.979738452126185,무시할 수준,angry,sadness
f006_conv_jitter,situation,0.0049759568721555745,0.04413659210085342,12.931507922912715,무시할 수준,angry,sadness
f006_conv_shimmer,situation,0.004551682768164817,0.0547898561577042,12.34049409605359,무시할 수준,fear,disgust
f006_resid_shimmer,situation,0.0023063952371215344,0.16195884864558152,9.212808565310297,무시할 수준,fear,disgust
