situation,n_files,n_pauses_avg,n_pauses_std,pause_dur_mean_avg,pause_dur_mean_std,pause_dur_std_avg,pause_dur_std_std,total_pause_ratio_avg,total_pause_ratio_std,longest_pause_dur_avg,longest_pause_dur_std,n_frames_avg,n_frames_std
angry,8474,3.6826764219966956,1.99999164792772,0.702559857027915,0.42905489336017827,0.34446964123098683,0.31101789262181817,0.41242329753312895,0.15231605181177107,1.1955345763511922,0.7854922456753995,586.9147982062781,289.6756347836979
sadness,9126,3.7012930089853167,2.0550639480678052,0.7557738999834395,0.4621052895397704,0.39034663082120574,0.3560471877232246,0.4486343687957884,0.1641150665346844,1.3144159544159544,0.9014904038169913,581.3219373219373,313.73836344953787
fear,2967,3.5399393326592516,1.9159115192176295,0.7078530743355061,0.41017825379654915,0.34884180814441923,0.307004950743087,0.42411684283535683,0.15736827186552022,1.1985237613751263,0.7490395904626759,552.0630266262218,265.8483449366729
disgust,3836,3.472106360792492,1.630811208656817,0.752413147122545,0.6025586375675402,0.3910768854522944,0.41163262554692076,0.4377670580777303,0.16332831541425427,1.2907820646506776,1.0256757549933306,549.1733576642335,241.95039182778498
neutral,3258,3.6077348066298343,1.7495667343053491,0.7204668301226772,0.441451388789054,0.3792925260117216,0.309916013051469,0.4257520333872532,0.16042566951990675,1.258014119091467,0.7701638252911819,562.7572130141191,219.93228697010636
happiness,4548,3.6396218117854002,1.7627747170469248,0.6920060409760279,0.48327053545558835,0.3679103088799857,0.35278763419224274,0.4234070773537876,0.1620601085656594,1.2155386983289358,0.891276961361261,556.6176341248901,246.14627655190256
surprise,1755,3.9236467236467236,1.972426544509685,0.6161056057032552,0.3493197538336449,0.35081320688493167,0.2708314394250926,0.3884201154668978,0.1515319713850805,1.1543076923076925,0.6934495439452019,584.8507122507123,253.42947892873667
