feature,n,nan_pct,inf_pct,zero_pct,is_constant,mean,std,median,iqr,min,max,outlier_pct_iqr1.5
f008_aperiodicity_spectral_slope_mean,1400,0.0,0.0,0.0,False,0.12925984258108514,0.014947535899146037,0.13174915799526754,0.021286427312745285,0.0487971450050344,0.1531818018177401,0.9285714285714286
f008_high_band_periodicity_mean,1400,0.0,0.0,0.0,False,0.15365524618645965,0.0420715288239107,0.14461407878426868,0.0627621447230193,0.05441356590562,0.3175757919102429,0.2857142857142857
f008_high_band_periodicity_std,1400,0.0,0.0,0.0,False,0.10224865114603181,0.03839128089770474,0.09528246816276156,0.06141186767192716,0.016504729914126,0.1937467531478408,0.0
f008_low_band_periodicity_mean,1400,0.0,0.0,0.0,False,0.8648185957052937,0.08692412648054272,0.8786730813350143,0.11506627685666193,0.3296425688546431,0.9848888931139927,1.8571428571428572
f008_low_band_periodicity_std,1400,0.0,0.0,0.0,False,0.2894342212397452,0.10711699999445719,0.30399415305755495,0.15067970484266946,0.0004526674023606,0.4926172639299797,0.0
f008_mid_band_periodicity_mean,1400,0.0,0.0,0.0,False,0.4801861484468043,0.05816617995196162,0.47969997336756853,0.06920067920240786,0.1794994052531271,0.6858099840772521,2.571428571428571
f008_mid_band_periodicity_std,1400,0.0,0.0,0.0,False,0.19629675464519136,0.06284595500954569,0.19207520878492995,0.09160101732776782,0.0227613838493364,0.3444822857286134,0.0
f008_mvf_mean,1400,0.0,0.0,0.0,False,2889.142868243403,393.0399649692604,2860.3598484848485,468.0088472207258,1034.1796875,4486.738929889299,2.071428571428571
f008_mvf_std,1400,0.0,0.0,0.0,False,1234.982175257235,471.395782124333,1165.2449345307964,670.3495774455631,21.60053093571485,2344.775521078373,0.0
f008_n_voiced_frames,1400,0.0,0.0,0.0,False,358.4,171.51803827972506,324.0,223.0,78.0,1154.0,2.214285714285714
f008_voiced_to_aperiodic_transition_rate,1400,0.0,0.0,0.35714285714285715,False,0.1635258543085179,0.08162198040248815,0.15513722730471496,0.1275420230301338,0.0,0.3796296296296296,0.0
