feature,pooled_epsilon_sq,gender_epsilon_sq,male_within_epsilon_sq,female_within_epsilon_sq,male_female_rank_corr,type
f008_aperiodicity_spectral_slope_mean,0.030593410789471597,0.03744407022633838,0.024544120587213995,0.021084839034500365,0.8571428571428573,A_robust
f008_high_band_periodicity_mean,0.013433705739728448,0.013068745740179468,0.018092797141984345,0.014655321133830394,0.10714285714285716,B_gender_dependent
f008_high_band_periodicity_std,0.021596349839043162,0.07402267213556973,0.010900294556334898,0.018268419137362688,0.3214285714285715,B_gender_dependent
f008_low_band_periodicity_mean,0.031214497431438077,0.02613139422539373,0.02942131314004352,0.020290259415592128,0.8214285714285715,A_robust
f008_low_band_periodicity_std,0.03120242184571449,0.026980353446987685,0.02923592181646285,0.02021673324180067,0.7857142857142859,A_robust
f008_mid_band_periodicity_mean,0.013509334154933397,0.0001274081679530849,0.026112724138490574,0.011700953805448314,0.5357142857142858,A_robust
f008_mid_band_periodicity_std,0.03317048512237381,0.06177736079653005,0.025739154848326107,0.02339074312212966,0.8928571428571429,A_robust
f008_mvf_mean,0.008627353610247817,0.015092674403416164,0.017275220531548858,0.010292460520436152,0.39285714285714296,B_gender_dependent
f008_mvf_std,0.02944940056661392,0.06191072409989747,0.017772658017589437,0.023123813714659158,0.6785714285714287,A_robust
f008_n_voiced_frames,0.022889432170090866,0.06032421283979666,0.059832017538710064,0.027939403400443655,-0.1785714285714286,B_gender_dependent
f008_voiced_to_aperiodic_transition_rate,0.02688892169018828,0.08746327732177589,0.021647259804829816,0.018242448165846286,0.5,A_robust
