situation,n_files,mfcc_1_mean_avg,mfcc_1_mean_std,mfcc_2_mean_avg,mfcc_2_mean_std,mfcc_3_mean_avg,mfcc_3_mean_std,mfcc_4_mean_avg,mfcc_4_mean_std,mfcc_5_mean_avg,mfcc_5_mean_std,mfcc_6_mean_avg,mfcc_6_mean_std,mfcc_7_mean_avg,mfcc_7_mean_std,mfcc_8_mean_avg,mfcc_8_mean_std,mfcc_9_mean_avg,mfcc_9_mean_std,mfcc_10_mean_avg,mfcc_10_mean_std,mfcc_11_mean_avg,mfcc_11_mean_std,mfcc_12_mean_avg,mfcc_12_mean_std,mfcc_13_mean_avg,mfcc_13_mean_std,mfcc_1_std_avg,mfcc_1_std_std,mfcc_2_std_avg,mfcc_2_std_std,mfcc_3_std_avg,mfcc_3_std_std,mfcc_4_std_avg,mfcc_4_std_std,mfcc_5_std_avg,mfcc_5_std_std,mfcc_6_std_avg,mfcc_6_std_std,mfcc_7_std_avg,mfcc_7_std_std,mfcc_8_std_avg,mfcc_8_std_std,mfcc_9_std_avg,mfcc_9_std_std,mfcc_10_std_avg,mfcc_10_std_std,mfcc_11_std_avg,mfcc_11_std_std,mfcc_12_std_avg,mfcc_12_std_std,mfcc_13_std_avg,mfcc_13_std_std,pitch_mean_avg,pitch_mean_std,pitch_std_avg,pitch_std_std,pitch_median_avg,pitch_median_std,voiced_ratio_avg,voiced_ratio_std,energy_mean_avg,energy_mean_std,energy_std_avg,energy_std_std
angry,8474,-520.1153054596372,125.88274688261116,106.93627979138112,26.872634608732785,3.4748172529377466,21.153071534835036,26.772731528951986,14.052364435984948,-3.1890035695778143,14.588759052423123,13.386659488503687,11.875203832714538,-4.085323042694017,8.674789101109702,3.043837944765064,10.056698608656825,-3.586362342326267,7.9513735812178465,-4.223129054296674,8.063503806387025,-4.203630924068612,6.521698893391397,0.23543862413448774,5.864348254595941,-1.60466157327732,5.260308717499712,108.89654049345533,24.259509374463963,54.3991665127763,13.577558619561032,32.5969170727256,7.696563536918871,22.98352967294455,4.6761389695113005,20.96868047456514,4.587871331652141,17.176948798217666,3.8004763801030594,16.478802538998487,3.9543731313708417,13.48331636450666,3.026477265910452,12.667088791365778,3.009413004221114,13.250647829196238,3.2885369068692083,10.892728222015755,2.4835807763943727,9.874126065190964,1.948806124239271,9.357692730407093,1.8771598861126688,190.56497991298468,90.35536940212177,84.05479175653282,95.10564278201572,180.90042993017823,78.51598954765058,0.8395202541017147,0.1451109169057746,0.022981043546768574,0.021557248693616766,0.02464927810158936,0.022235365824604857
sadness,9126,-534.6486011750077,117.15214709491805,108.45240513431433,28.532711350339525,9.69302170150101,21.225675596940363,27.951460418842366,14.114038413385579,-0.6721566537838636,14.44362025652166,13.751716948496512,11.628562078397806,-2.7920597878553863,9.028213644569528,5.6924056949599295,9.784981575023362,-2.7057194310561554,7.832563568524983,-2.4726818539172046,8.078726067012031,-3.3084640109842116,6.546112274982348,0.9384175761451412,5.718257578722869,-0.5489041107197131,5.342625974944272,106.4654465672637,23.61452615641908,54.74123853459422,13.8728382906397,31.524798396384536,7.63188473542674,22.27318654221295,5.0052898941219155,20.1263252807348,4.621794352879034,17.215552286283504,3.9110658753850376,16.122326683219576,4.168018314361398,13.026404028578387,2.912950201896913,12.472226925698806,3.0158256531444994,12.915293570597287,3.4363932629809253,10.660914331210854,2.5237001255817084,9.627764275845744,1.966629229218992,9.075120205318042,1.9409020727337838,172.34652863560078,83.89582478980707,75.18954012458163,92.70499322683604,165.02201995449437,82.32305079048005,0.8576533835489015,0.14448070417723913,0.01934684471387303,0.017737961704049378,0.021763233873530092,0.019217181343253696
fear,2967,-527.4912837703179,123.72084420851711,105.2124751990678,28.18113207440771,6.95896098277471,21.231528665846607,28.82139624321138,14.147507877333307,-2.5704828519570317,14.637079038879945,12.718439209623998,11.726587524080944,-3.5639735776275794,8.74382318059051,4.2673637383741605,10.255030893373924,-2.6894004744001863,7.610614542413686,-3.712858265350417,7.934247005140305,-4.135578108865374,6.473875110473557,0.7765592186362364,5.754200657357171,-1.3101306752682977,5.132294697232303,108.03014481778816,24.547565058101252,54.06639532854873,13.24042000619401,32.936479434767755,7.602892601763161,22.72357469075932,4.863171189069422,20.456806173539942,4.726979558382835,17.688005801278972,4.101138772657727,16.405059751614118,4.128885372864491,13.282115708869597,2.914754219638944,12.514321087746255,3.0278548785324078,12.939890251121097,3.3355664267834584,10.77834729952245,2.6240679438244445,9.781401289164277,1.9556105140553655,9.151406950769017,1.895187178884746,184.6449204273319,85.62059717964263,74.3130263856361,80.31765743251302,181.16783064821522,85.36415127677772,0.8505800675273064,0.14803808415886802,0.021943787964136277,0.021289622919247533,0.023901278213285315,0.022409261042338417
disgust,3836,-535.3215901968501,125.78413418171098,102.78315672859534,27.575738619825405,3.6526874123917836,21.500477104612873,27.79904489486592,14.657076248543031,-4.074621485637094,14.471460658205123,12.573497591246447,11.942070830583766,-3.98743013822963,8.45180680261256,2.2348222288987762,9.798294415144017,-2.912855771867577,7.93622878113134,-3.6689673795458146,8.056279374601363,-4.319206050975815,6.277094886637945,1.00155603728059,5.763414895158518,-1.3168863200033445,5.364395986749374,108.65763363723835,24.163660867014396,55.160373266596,13.305792487878493,32.12568832438233,8.003836583992287,22.48757667735421,4.6117292554594975,20.48945141882792,4.565502400967613,17.644540011323407,3.9964488805073297,16.35949108274935,4.071899681720786,13.46504056416413,3.1118309632201373,12.554978485152173,2.9997627306243912,13.296493605727076,3.585284610239565,10.777466320394849,2.5547241758807426,9.5929885220105,1.9103267829652328,9.19177341510904,1.9890135419025494,188.29686428359622,88.30912621609266,80.7043689011725,89.51135169933715,179.39791978938771,80.45002043892252,0.8306996471626071,0.1558585725476651,0.020913032689947552,0.02140610025889078,0.02348129636699503,0.02334382074025643
neutral,3258,-546.23906895103,125.94867150392655,100.91830778619568,25.075868852375812,0.570787734533911,21.47586538630741,27.970191532147943,14.884409575489288,-4.581055283045197,12.899534028144405,12.197535426479746,11.339326270697983,-4.891111900507398,7.672185414341279,0.00266746960714273,9.857575727254936,-3.8292830323183993,8.032628576643065,-4.023932373379047,7.8426908854381905,-4.752558589205455,5.928126470481078,0.5445076403027058,5.393063165273367,-2.0419432295749607,5.076257970128915,108.53251602343799,24.471450496949274,55.678155460263994,13.598270047760792,32.24390528903116,9.016516264840842,22.619737510815803,4.940156850377859,20.746652246911953,4.5507394971306105,16.876206938220797,3.5792609232536665,15.849842117928961,3.947471471400987,13.537214136913995,3.191772925969259,12.410654326609265,2.9209308915606673,13.16478464660504,3.6830119054315795,10.612113529074184,2.5291047645144284,9.596747069800829,1.79457015450567,9.050097131670583,1.9928052942036727,189.70194543304459,92.97330660826681,79.41968906031073,79.50411087557615,183.6164479246052,97.02188097768196,0.8145693050772671,0.1562789078774639,0.018887277579531146,0.020477730110498235,0.0219639156385136,0.023554700867749166
happiness,4548,-544.233643983893,128.1596482986478,97.62685242596696,24.677927487253655,-1.5845852565220773,22.25539457305615,28.66018564913466,15.364503255179825,-4.6626325078084765,13.349013734180316,13.817143542349168,11.304861482493703,-4.768429984947995,7.780303629845614,-1.0319159020696225,10.308173063427528,-4.043734633608184,8.026341259820988,-4.8092518195782725,7.949862223339332,-5.16224515914712,6.071176449883599,0.6686548252458995,5.7761767635604695,-2.7275294995781323,5.170824364190361,107.63215400319196,26.310531781934287,52.947831355382604,12.915906140975748,32.56886562927836,8.985509189997753,23.204659646083726,4.794445083087535,20.292912092141762,4.1972546333520215,16.575532289587205,3.622567520308509,15.767373073174436,3.8957941368819227,13.771674774357805,3.327055017888692,12.391040929494034,2.927639062831609,13.394455694690963,3.6120554743206132,10.80039357677718,2.4716238388564062,9.561616233649124,1.6962158127142755,9.113166299690358,1.9244737458947039,204.3550914464299,90.85142797904008,88.47927268442747,90.64792899755768,193.8306967060542,82.26299378590831,0.8083312717114592,0.15724419952649835,0.020133295179049042,0.022676668446269428,0.023010366062593716,0.02508084236763066
surprise,1755,-541.3180075273215,127.48282089205206,99.37016678073807,24.786350423225127,-1.812584788982154,22.065798277227877,30.567079811294875,14.555769573774755,-5.600781435145137,13.574822279797589,11.664597057108569,11.869695569444257,-4.709858921816025,7.548258000725708,0.41789004389790985,10.167141988451984,-3.888892108697094,8.03287205507228,-5.78446530080344,8.107889422385336,-5.689492125227315,5.945517138703917,0.39347864060126714,5.496640501399576,-2.4354694337789713,5.40742699924259,105.41538139625833,26.48070350630728,53.09152559677081,12.513476871575817,33.90050700587085,8.330244311478292,23.91665186488051,4.755992031228876,21.029513848133575,4.47625499293243,16.592849984399955,3.396339499871687,15.823412099387232,3.5480503856947343,13.248243122426873,2.8874880259902165,12.383045829055655,2.6977146899333193,13.651976727216672,3.6030357365836365,10.839170336655402,2.301176689345416,9.621336613625203,1.6352105012991605,9.054274661452682,1.7758241073850862,205.57727778386413,84.80444224335467,84.79509059483911,83.9181413371895,198.9683550065543,77.98434499744094,0.8231311689058363,0.1418553536246454,0.019974577127961825,0.022841022490057403,0.021342443998974676,0.023474586305536945
