situation,n_files,jitter_local_avg,jitter_local_std,shimmer_local_avg,shimmer_local_std,hnr_mean_avg,hnr_mean_std,hnr_std_avg,hnr_std_std,n_periods_avg,n_periods_std,n_hnr_frames_avg,n_hnr_frames_std
angry,8474,0.14735198781302639,0.02354230170368475,0.12902312728011917,0.0331280840666227,3.2585453267299522,2.7187945256277746,6.637832611752536,2.609682614649812,920.2531272126505,629.4835136733625,76.82711824404059,37.83734072456544
sadness,9126,0.14955325739355319,0.024721120016318907,0.12853314265440402,0.03535460093607506,3.354975765488929,3.0230803286758743,6.823760857863651,2.831063905086401,847.7904887135657,762.7935083501661,77.7605741836511,40.42844434100035
fear,2967,0.14836082083073462,0.023323247713632467,0.12791566081071215,0.036921333123232467,3.3745775535416778,3.0511634944363673,6.772307988328314,2.9068826731648696,853.5925176946411,583.8559470340738,73.6592517694641,36.347944531077495
disgust,3836,0.15008727889961668,0.02430416295947356,0.13024503386766959,0.03623291026901131,3.0327346788739185,3.0408383405147217,6.6143958920963115,2.7766463588822763,843.1621480709072,588.576855290722,71.3029197080292,33.114260146528224
neutral,3258,0.1521805704183438,0.02314786926187925,0.13453767632769106,0.04242194598905403,2.560909467179801,2.9919717218959914,6.724827292069046,2.838266495917933,854.6187845303867,504.8671191713485,71.53959484346224,29.7270444849065
happiness,4548,0.15072447529678132,0.0237044209640498,0.1302342203314114,0.04061571228179882,2.925219658598961,3.045753920566416,6.835045002066431,2.9532024404477766,902.7383465259454,529.3499495536282,70.33157431838171,33.25824431397152
surprise,1755,0.14985154326445083,0.022519135544686396,0.1298483651361429,0.043024153832947956,3.1127777915778503,3.4193333688232883,6.719515542563451,2.693471715859626,974.5219373219373,541.3511648706301,75.17378917378917,33.76641729476513
