situation,n_files,arousal_avg,arousal_std,dominance_avg,dominance_std,valence_avg,valence_std
angry,8474,0.4403593904253712,0.1496015754415977,0.4960801814671132,0.11694279028811448,0.43176405548659,0.09068033279909593
sadness,9126,0.34977370688997683,0.13462611437008243,0.4256816614078778,0.10733731879498977,0.3923068306682933,0.08502410453004206
fear,2967,0.4119928893998873,0.13975323964581018,0.4722544004293777,0.1101495152197599,0.41614314917265305,0.0855564425718382
disgust,3836,0.43425427399875793,0.1460723885801046,0.4878467166518581,0.11475666874059998,0.41164693100682853,0.08733331889375444
neutral,3258,0.4537937744749862,0.14372531831404267,0.5031684015273243,0.11499898845181976,0.43717126895435166,0.08811559051546271
happiness,4548,0.4548958140274259,0.14304707563089805,0.5021184468469865,0.11263360004030887,0.43239109852435614,0.09411120608640945
surprise,1755,0.4504938717798842,0.1460744273170528,0.503062175931754,0.11522877891497726,0.45481662891189595,0.08194563075339703
