wav_id,situation,key_major_corr,key_minor_corr,key_major_minor_diff,key_mode,n_voiced_pitch_frames
5e258fe2305bcf3ad153a6a5,angry,0.20499088567627033,0.26826863698899184,-0.06327775131272151,minor,47
5e25902f305bcf3ad153a6a9,angry,0.24331783144841787,0.6022913998312454,-0.35897356838282746,minor,33
5e258fd1305bcf3ad153a6a4,angry,0.7254116176599672,0.48402915466236507,0.24138246299760213,major,45
5e258ff5305bcf3ad153a6a6,angry,0.30092675064712426,0.3309542135501128,-0.030027462902988522,minor,37
5e2841675807b852d9e0161e,angry,0.43575589857534147,0.3973883664980902,0.0383675320772513,major,42
5e27fb575807b852d9e01595,angry,0.40681528041816595,0.6045431948835444,-0.1977279144653784,minor,82
5e2846c55807b852d9e0164e,angry,0.44533745565910293,0.4788711596515562,-0.033533703992453257,minor,21
5e2846b45807b852d9e0164d,angry,0.5054446044742187,0.5192657643944054,-0.013821159920186732,minor,33
5e28482c5807b852d9e01659,angry,0.4991416319509568,0.453921448355252,0.04522018359570479,major,32
5e28483f5807b852d9e0165a,angry,0.31866771680995176,0.32801776455617826,-0.009350047746226497,minor,34
5e2841be5807b852d9e01622,angry,0.641506666981534,0.7117888022594413,-0.07028213527790728,minor,50
5e28bb4a5807b852d9e01750,angry,0.4103940986522624,0.5666573171381964,-0.15626321848593405,minor,25
5e29758c5807b852d9e0188f,angry,0.8284637748685414,0.5632476835154976,0.2652160913530438,major,41
5e2875aa5807b852d9e01713,angry,0.42631689429743724,0.7023307145775048,-0.2760138202800676,minor,99
5e2875925807b852d9e01712,angry,0.48672014174376316,0.5368381390226324,-0.050117997278869286,minor,94
5e2875c35807b852d9e01714,angry,0.6750754714370069,0.7149328316012142,-0.03985736016420738,minor,78
5e29813c5807b852d9e01944,angry,0.3539526647014195,0.2895986226043119,0.0643540420971076,major,69
5e29841e5807b852d9e01987,angry,0.35881858715115905,0.39237060216329467,-0.033552015012135616,minor,68
5e2991785807b852d9e01a62,angry,0.6083371169793808,0.41120932450269204,0.1971277924766887,major,60
5e2984895807b852d9e01990,angry,0.42558318669534495,0.5604226748236564,-0.13483948812831142,minor,72
5e2992895807b852d9e01a7c,angry,0.5144783686379094,0.3992249687014543,0.11525339993645511,major,83
5e29ac765807b852d9e01c2e,angry,0.5059824780493942,0.5194697244506369,-0.013487246401242659,minor,78
5e29ac5b5807b852d9e01c2c,angry,0.7700374257596623,0.7653196879882133,0.004717737771449015,major,80
5e29b2345807b852d9e01c7f,angry,0.34212479794929734,0.436872538186314,-0.09474774023701665,minor,61
5e29b2135807b852d9e01c7e,angry,0.6354445949270658,0.6061485139279562,0.02929608099910963,major,105
5e29ac965807b852d9e01c30,angry,0.33564800252295185,0.564140058805552,-0.2284920562826001,minor,102
5e29b2545807b852d9e01c80,angry,0.316016017459727,0.4755000711231607,-0.15948405366343366,minor,92
5e29b2805807b852d9e01c81,angry,0.6421279417571394,0.743592897150507,-0.10146495539336764,minor,74
5e29b2ac5807b852d9e01c85,angry,0.6221294996274056,0.6728586686552382,-0.050729169027832643,minor,90
5e29b2d15807b852d9e01c8c,angry,0.4551734774551227,0.6408202189174935,-0.1856467414623708,minor,87
5e2ac3d55807b852d9e01fd6,angry,0.5729922119059613,0.7896528837260927,-0.21666067182013138,minor,49
5e29b37c5807b852d9e01ca7,angry,0.5766013693390329,0.5857085078871637,-0.009107138548130722,minor,102
5e29b2f95807b852d9e01c93,angry,0.36451488064076687,0.4847667186140673,-0.12025183797330041,minor,111
5e29b3a75807b852d9e01cae,angry,0.4742227436891587,0.8139425670545364,-0.3397198233653777,minor,107
5e2ac52c5807b852d9e01fe4,angry,0.1905043386237882,0.3586900129418819,-0.1681856743180937,minor,56
5e2ac5585807b852d9e01fe7,angry,0.36049651904067825,0.36706646363857515,-0.006569944597896893,minor,54
5e2acaeb5807b852d9e02036,angry,0.2339362243247753,0.37530476723900225,-0.14136854291422696,minor,63
5e29b3375807b852d9e01c9b,angry,0.446278091656486,0.6155113022297485,-0.16923321057326246,minor,213
5e2ad2d85807b852d9e020c1,angry,0.37948350392835906,0.4447673215787262,-0.06528381765036717,minor,60
5e2ad33a5807b852d9e020c9,angry,0.4090093199183505,0.4357738376489858,-0.026764517730635318,minor,41
5e2ac6f85807b852d9e01ffe,angry,0.4197111632346567,0.4183617929222688,0.0013493703123878542,major,76
5e2ad4a95807b852d9e020e2,angry,0.7990932430572701,0.6199331731815617,0.17916006987570843,major,57
5e2ad6375807b852d9e020f8,angry,0.5516408013015299,0.5103379894592337,0.04130281184229623,major,54
5e2ad4885807b852d9e020e1,angry,0.43613238922534425,0.5809148251909995,-0.1447824359656552,minor,60
5e2ad6e45807b852d9e02100,angry,0.3652948919297217,0.5701361630252915,-0.20484127109556977,minor,69
5e2ad5155807b852d9e020e8,angry,0.5854520549996601,0.5783284546542308,0.0071236003454293595,major,75
5e2ad7bd5807b852d9e0210b,angry,0.5850219151821912,0.5507678965579261,0.034254018624265026,major,68
5e2add325807b852d9e02153,angry,0.245080225608034,0.30155653286181033,-0.05647630725377634,minor,43
5e2adcf75807b852d9e0214e,angry,0.5859756399421033,0.5799380674972928,0.006037572444810513,major,37
5e2ae57e5807b852d9e0216f,angry,0.30708763462768995,0.4654423049307846,-0.15835467030309464,minor,29
5e2ade005807b852d9e0215c,angry,0.5505828418265134,0.6534326692797667,-0.10284982745325333,minor,55
5e2ae5bb5807b852d9e02171,angry,0.3781644392442204,0.37578884440057314,0.002375594843647244,major,76
5e2ae59c5807b852d9e02170,angry,0.4059019987949181,0.44914114179122416,-0.043239142996306046,minor,119
5e2aec735807b852d9e021c4,angry,0.4557170066450263,0.6312645501259697,-0.17554754348094342,minor,69
5e2aec565807b852d9e021c3,angry,0.24581999707197216,0.4306509418088834,-0.18483094473691125,minor,77
5e2aec8c5807b852d9e021c5,angry,0.33500743841640196,0.3505292851302586,-0.015521846713856646,minor,114
5e2aeccc5807b852d9e021c7,angry,0.6477953192722229,0.5806826600054575,0.06711265926676535,major,58
5e2aecae5807b852d9e021c6,angry,0.5731235305854696,0.6319486687918271,-0.058825138206357486,minor,95
