condition,mode,harmonic,freq_rmse_cents,amp_ratio_std_db,amp_ratio_bias_db,true_amp_ratio_db,n_valid_frames
harmonic_stack_f0_150,fixed,1,8.341436260566914,nan,nan,0.0,97
harmonic_stack_f0_150,fixed,2,2.1615659350112675,0.004610316092425664,-0.004556106107352242,-1.1103465569966273,97
harmonic_stack_f0_150,fixed,3,0.5378980770103091,0.005752981956743752,-0.005497352631863794,-2.220693113993255,97
harmonic_stack_f0_150,fixed,4,0.36977954217731585,0.005690911675469828,-0.005919027232633489,-3.331039670989883,97
harmonic_stack_f0_150,fixed,5,1.052459534999016,0.004455519901367217,-0.0033778119623519842,-4.441386227986509,97
harmonic_stack_f0_150,adaptive_c2,1,17.634747530910904,nan,nan,0.0,98
harmonic_stack_f0_150,adaptive_c2,2,9.163036420646613,0.048930591318164254,0.06879365632130474,-1.1103465569966273,98
harmonic_stack_f0_150,adaptive_c2,3,2.262675421113905,0.024643330898716842,0.15391615647122103,-2.220693113993255,98
harmonic_stack_f0_150,adaptive_c2,4,2.681089990237031,0.029664317080746433,0.11406747277282259,-3.331039670989883,98
harmonic_stack_f0_150,adaptive_c2,5,4.811038032515361,0.04498508518840219,0.11210359082557275,-4.441386227986509,98
harmonic_stack_f0_150,adaptive_c3,1,26.40710906443697,nan,nan,0.0,98
harmonic_stack_f0_150,adaptive_c3,2,9.668633838804565,0.0028742020754954755,-0.006138384065510927,-1.1103465569966273,98
harmonic_stack_f0_150,adaptive_c3,3,2.7917376754704057,0.008803104890652873,-0.011381665434413435,-2.220693113993255,98
harmonic_stack_f0_150,adaptive_c3,4,0.9330943328356158,0.009814951667012363,-0.012823717321621242,-3.331039670989883,98
harmonic_stack_f0_150,adaptive_c3,5,2.191206406333293,0.009829394307866803,-0.01047925327915955,-4.441386227986509,98
harmonic_stack_f0_150,adaptive_c4,1,16.9155065579933,nan,nan,0.0,97
harmonic_stack_f0_150,adaptive_c4,2,4.963703260432324,0.006076411943388526,-0.00681957345836981,-1.1103465569966273,97
harmonic_stack_f0_150,adaptive_c4,3,1.2143249115589232,0.009226317748911457,-0.009648326918791028,-2.220693113993255,97
harmonic_stack_f0_150,adaptive_c4,4,0.7429756630872638,0.009178705975129674,-0.009948952916934761,-3.331039670989883,97
harmonic_stack_f0_150,adaptive_c4,5,1.9786228035440399,0.006991866321528175,-0.00640603708330012,-4.441386227986509,97
linear_glide,fixed,1,2.8706709307980107,nan,nan,0.0,97
linear_glide,fixed,2,0.9970407351034284,0.0336323447468046,-0.01848884456817479,-1.1103465569966273,97
linear_glide,fixed,3,0.7162614995496753,0.045305498288748386,-0.047920123456320685,-2.220693113993255,97
linear_glide,fixed,4,0.7282409087894097,0.04179109666496418,-0.08860514716591172,-3.331039670989883,97
linear_glide,fixed,5,0.6420358818830189,0.04304568754153993,-0.1404708058664772,-4.441386227986509,97
linear_glide,adaptive_c2,1,18.467400308352552,nan,nan,0.0,98
linear_glide,adaptive_c2,2,13.460954822165805,0.03988996545185535,-0.005445621612057527,-1.1103465569966273,98
linear_glide,adaptive_c2,3,5.958775380467444,0.06861606225570578,-0.0134934611240638,-2.220693113993255,98
linear_glide,adaptive_c2,4,4.56084314990274,0.06040264495727147,-0.008492055560108458,-3.331039670989883,98
linear_glide,adaptive_c2,5,3.8005845702118752,0.06756922646293446,-0.009624806956204601,-4.441386227986509,98
linear_glide,adaptive_c3,1,11.43761211009278,nan,nan,0.0,97
linear_glide,adaptive_c3,2,4.450400344701548,0.02663670570324689,-0.0027760219452559465,-1.1103465569966273,97
linear_glide,adaptive_c3,3,1.8826968547244403,0.043479783076479664,-0.00766905960874098,-2.220693113993255,97
linear_glide,adaptive_c3,4,2.3899754705667338,0.03995539603250691,-0.010287459069796334,-3.331039670989883,97
linear_glide,adaptive_c3,5,1.9066952877019612,0.03636923173454361,-0.011527537399230958,-4.441386227986509,97
linear_glide,adaptive_c4,1,7.89728844563663,nan,nan,0.0,97
linear_glide,adaptive_c4,2,2.9242495709573313,0.005375598335940521,-0.004762177961385339,-1.1103465569966273,97
linear_glide,adaptive_c4,3,1.65555594111618,0.010920809491819323,-0.011260546580695863,-2.220693113993255,97
linear_glide,adaptive_c4,4,1.663475500070207,0.018774972370078982,-0.018848160711767648,-3.331039670989883,97
linear_glide,adaptive_c4,5,1.576775476492088,0.02969757493370378,-0.029045741631922084,-4.441386227986509,97
exponential_glide,fixed,1,2.815041398619389,nan,nan,0.0,97
exponential_glide,fixed,2,1.2148874223261932,0.04030350083513911,-0.034553004046790736,-1.1103465569966273,97
exponential_glide,fixed,3,0.8369715624291151,0.07202345983266535,-0.091501340631861,-2.220693113993255,97
exponential_glide,fixed,4,0.7627943070740067,0.11178533727763777,-0.17006283134576572,-3.331039670989883,97
exponential_glide,fixed,5,0.6072442606019384,0.1709988842235297,-0.26995457871382733,-4.441386227986509,97
exponential_glide,adaptive_c2,1,22.933266904349964,nan,nan,0.0,98
exponential_glide,adaptive_c2,2,13.088458461827992,0.03645480562861133,-0.005106324357032399,-1.1103465569966273,98
exponential_glide,adaptive_c2,3,5.802269255508938,0.06045385935538616,-0.012585794335925549,-2.220693113993255,98
exponential_glide,adaptive_c2,4,4.909454996725856,0.05451714702765609,-0.012570701321541478,-3.331039670989883,98
exponential_glide,adaptive_c2,5,5.520442265695347,0.06603446282303578,-0.013652671102594383,-4.441386227986509,98
exponential_glide,adaptive_c3,1,10.207872905487019,nan,nan,0.0,97
exponential_glide,adaptive_c3,2,3.98888365662887,0.025420732967035876,-0.002605868757830976,-1.1103465569966273,97
exponential_glide,adaptive_c3,3,1.6944168763475214,0.04088342625569549,-0.006634273964253534,-2.220693113993255,97
exponential_glide,adaptive_c3,4,2.099311212881288,0.03610851534570801,-0.011774670467961101,-3.331039670989883,97
exponential_glide,adaptive_c3,5,2.0985688712546935,0.03725618082980282,-0.014768726075891081,-4.441386227986509,97
exponential_glide,adaptive_c4,1,8.131203823042535,nan,nan,0.0,97
exponential_glide,adaptive_c4,2,2.9921346565584086,0.011033720277277918,-0.004790841450029504,-1.1103465569966273,97
exponential_glide,adaptive_c4,3,1.49781839776938,0.016303276774091345,-0.011559343888454698,-2.220693113993255,97
exponential_glide,adaptive_c4,4,1.6766161121533218,0.020841452970243358,-0.019260905289154362,-3.331039670989883,97
exponential_glide,adaptive_c4,5,1.6594195693022078,0.026073825281709984,-0.029856750225912165,-4.441386227986509,97
vibrato,fixed,1,2.426791722809083,nan,nan,0.0,97
vibrato,fixed,2,1.3652281071799464,0.029794441359868185,-0.012717385107722912,-1.1103465569966273,97
vibrato,fixed,3,1.2276391286129529,0.04411747100589869,-0.03307851969065423,-2.220693113993255,97
vibrato,fixed,4,1.2528682056983822,0.05305428362473637,-0.06049417875159202,-3.331039670989883,97
vibrato,fixed,5,1.223845041132351,0.07540361834621917,-0.09627693568151496,-4.441386227986509,97
vibrato,adaptive_c2,1,9.704372825568342,nan,nan,0.0,98
vibrato,adaptive_c2,2,4.465029201021519,0.043080546160253884,-0.001567205632381219,-1.1103465569966273,98
vibrato,adaptive_c2,3,1.8959127241600346,0.09320990796858403,-0.003848602196376838,-2.220693113993255,98
vibrato,adaptive_c2,4,2.4129805362363927,0.07199581915101777,-0.004315292317415675,-3.331039670989883,98
vibrato,adaptive_c2,5,2.2270902060772104,0.08352996507711427,0.002996262846571618,-4.441386227986509,98
vibrato,adaptive_c3,1,14.397123946525,nan,nan,0.0,98
vibrato,adaptive_c3,2,5.469848461242058,0.0032647468157698057,-0.002212559004796777,-1.1103465569966273,98
vibrato,adaptive_c3,3,2.2414426314910383,0.006184425717538364,-0.004230554386646546,-2.220693113993255,98
vibrato,adaptive_c3,4,2.705150898934156,0.007621678387425213,-0.0036220865087051024,-3.331039670989883,98
vibrato,adaptive_c3,5,2.3149067701820334,0.008956069051139014,-0.004277073614895599,-4.441386227986509,98
vibrato,adaptive_c4,1,7.449764574432572,nan,nan,0.0,97
vibrato,adaptive_c4,2,2.665708435789952,0.003465538158991678,-0.002315286547095008,-1.1103465569966273,97
vibrato,adaptive_c4,3,1.47020356811453,0.0047694289885558796,-0.004618173729439068,-2.220693113993255,97
