feature,label,epsilon_sq,p_value,h_stat,effect_label,lowest_group,highest_group
f007_word_energy,majority_vote,0.030385442664758976,3.720943919324095e-08,45.50107546418667,작음,neutral,angry
f007_phrase_energy,majority_vote,0.02878814766783412,9.611758176884348e-08,43.42459196818436,작음,neutral,angry
f007_microprosody_energy,majority_vote,0.027342900505290205,2.2603081896454e-07,41.545770656877266,작음,neutral,happiness
f007_syllable_energy,majority_vote,0.02667602275794252,3.3495932762370564e-07,40.678829585325275,작음,neutral,happiness
f007_word_entropy,majority_vote,0.025697336185762653,5.957157554807599e-07,39.40653704149145,작음,neutral,surprise
f007_syllable_entropy,majority_vote,0.025155596684351692,8.186576805139419e-07,38.7022756896572,작음,neutral,surprise
f007_phrase_entropy,majority_vote,0.020722811628357842,1.076992539866149e-05,32.9396551168652,작음,neutral,fear
f007_phrase_variance,majority_vote,0.016324660855693066,0.000131572825061466,27.222059112400984,작음,neutral,angry
f007_word_variance,majority_vote,0.014825608367122746,0.00030387075410527565,25.27329087725957,작음,neutral,disgust
f007_utterance_entropy,majority_vote,0.013981123679182769,0.00048483298335638735,24.1754607829376,작음,neutral,fear
f007_microprosody_entropy,majority_vote,0.012774247645380946,0.0009395637709056061,22.60652193899523,작음,neutral,angry
f007_utterance_energy,majority_vote,0.011487528240156666,0.0018855493682224881,20.933786712203666,작음,neutral,angry
f007_microprosody_peak_density,majority_vote,0.011081284011711252,0.0023444327904478747,20.405669215224627,작음,neutral,angry
f007_syllable_variance,majority_vote,0.010754729353535507,0.002790873391887784,19.98114815959616,작음,neutral,happiness
f007_microprosody_variance,majority_vote,0.008936561715789559,0.007262585088545445,17.617530230526427,무시할 수준,neutral,happiness
f007_utterance_sign_change_rate,majority_vote,0.00791946764491407,0.012253707381897242,16.29530793838829,무시할 수준,neutral,sadness
f007_utterance_peak_density,majority_vote,0.006623941980753171,0.023506784730211727,14.611124574979122,무시할 수준,neutral,disgust
f007_phrase_energy_ratio,majority_vote,0.006084497940072861,0.03065959261990784,13.90984732209472,무시할 수준,neutral,disgust
f007_syllable_peak_density,majority_vote,0.004604151967531592,0.062295360883176075,11.98539755779107,무시할 수준,fear,angry
f007_utterance_energy_ratio,majority_vote,0.0037485860346765393,0.09237651635375053,10.873161845079501,무시할 수준,disgust,neutral
f007_utterance_variance,majority_vote,0.003303975591530697,0.11275963015969494,10.295168268989906,무시할 수준,neutral,angry
f007_word_peak_density,majority_vote,0.0012456693550645624,0.26733595892783363,7.619370161583931,무시할 수준,neutral,sadness
f007_syllable_sign_change_rate,majority_vote,-2.2222955397844373e-05,0.4264341259685701,5.971110157982802,무시할 수준,neutral,surprise
f007_microprosody_energy_ratio,majority_vote,-0.0007059224671537287,0.5333016543586029,5.082300792700153,무시할 수준,surprise,neutral
f007_phrase_sign_change_rate,majority_vote,-0.001250533671941776,0.6261605340912297,4.374306226475691,무시할 수준,neutral,disgust
f007_syllable_energy_ratio,majority_vote,-0.0014844283491982843,0.667171008734498,4.07024314604223,무시할 수준,angry,fear
f007_word_energy_ratio,majority_vote,-0.0015726191348106183,0.6826857143161367,3.9555951247461962,무시할 수준,angry,disgust
f007_dominant_scale_period_sec,majority_vote,-0.0015838349961275326,0.684658651948925,3.941014505034208,무시할 수준,happiness,fear
f007_word_sign_change_rate,majority_vote,-0.001757016429730339,0.7150611005171423,3.7158786413505593,무시할 수준,disgust,sadness
f007_microprosody_sign_change_rate,majority_vote,-0.002726040224040518,0.873342791497564,2.4561477087473267,무시할 수준,fear,surprise
f007_phrase_peak_density,majority_vote,-0.003265327955003749,0.9407907918318217,1.7550736584951265,무시할 수준,fear,disgust
