feature,label,epsilon_sq,p_value,h_stat,effect_label,lowest_group,highest_group
f007_syllable_entropy,situation,0.022758839998180944,1.283932984171144e-06,37.703064117466056,작음,sadness,surprise
f007_word_entropy,situation,0.020014089852311234,7.0971768101216e-06,33.87962716426955,작음,fear,surprise
f007_microprosody_entropy,situation,0.01996431223108526,7.319267792404804e-06,33.810286937901765,작음,sadness,surprise
f007_phrase_entropy,situation,0.015430546869732288,0.00011694518062358742,27.494751789537077,작음,sadness,surprise
f007_syllable_energy,situation,0.01474686266186417,0.00017636524765149143,26.54237968797679,작음,fear,happiness
f007_utterance_entropy,situation,0.008850559395986687,0.005460889878975419,18.328829238609455,무시할 수준,sadness,surprise
f007_microprosody_energy,situation,0.00692314076610366,0.01579822425926349,15.643935087182399,무시할 수준,fear,happiness
f007_syllable_energy_ratio,situation,0.0064373625765495905,0.020513002397840308,14.96724606913358,무시할 수준,angry,neutral
f007_word_energy,situation,0.00639867343534957,0.0209414529003304,14.913352095441951,무시할 수준,fear,surprise
f007_phrase_energy,situation,0.005327940317765986,0.036805558742030724,13.421820862648019,무시할 수준,fear,angry
f007_syllable_variance,situation,0.0046769973188932334,0.05141683940624225,12.515057265218275,무시할 수준,fear,happiness
f007_microprosody_peak_density,situation,0.004271399028236829,0.06309224870726708,11.950058846333903,무시할 수준,fear,angry
f007_dominant_scale_period_sec,situation,0.0029743795276764387,0.1187451882941296,10.14331068205328,무시할 수준,sadness,surprise
f007_microprosody_energy_ratio,situation,0.0026558628039473433,0.1378851520525124,9.69961688589865,무시할 수준,angry,fear
f007_word_energy_ratio,situation,0.0025771863732417816,0.14301296390908103,9.590020617925802,무시할 수준,angry,fear
f007_word_sign_change_rate,situation,0.0022175207148688813,0.1686339486514598,9.089006355812352,무시할 수준,angry,fear
f007_syllable_peak_density,situation,0.001977715020438618,0.18783532803053005,8.754957023470995,무시할 수준,fear,angry
f007_utterance_energy,situation,0.0016758053057690325,0.21461375482026485,8.334396790936262,무시할 수준,fear,angry
f007_utterance_sign_change_rate,situation,0.0004330613534955538,0.35909977580406716,6.603254465419306,무시할 수준,fear,neutral
f007_phrase_variance,situation,0.0002529150142612549,0.38490241014458604,6.352310614865928,무시할 수준,fear,angry
f007_utterance_peak_density,situation,-0.0007205548695069133,0.5442919830091024,4.99626706677687,무시할 수준,neutral,fear
f007_microprosody_sign_change_rate,situation,-0.0008497459910270503,0.5675803683075868,4.816303834499319,무시할 수준,angry,surprise
f007_microprosody_variance,situation,-0.0010179109505492475,0.5984202335240869,4.582050045884898,무시할 수준,fear,happiness
f007_word_variance,situation,-0.0010664250325616914,0.6074098200748514,4.514469929641564,무시할 수준,fear,neutral
f007_utterance_variance,situation,-0.0013157208320617475,0.6540611413758066,4.167200880937986,무시할 수준,surprise,angry
f007_phrase_peak_density,situation,-0.001320578334506628,0.654975393452697,4.160434380032267,무시할 수준,neutral,disgust
f007_word_peak_density,situation,-0.0016062595643367135,0.7087822937575068,3.762480426878958,무시할 수준,angry,surprise
f007_syllable_sign_change_rate,situation,-0.0018250681523452128,0.7495914029725492,3.4576800637831187,무시할 수준,sadness,surprise
f007_utterance_energy_ratio,situation,-0.0019127947182836964,0.7657143048160095,3.335476957430811,무시할 수준,disgust,angry
f007_phrase_sign_change_rate,situation,-0.0022324016720235208,0.8224884610727963,2.890264470871235,무시할 수준,neutral,surprise
f007_phrase_energy_ratio,situation,-0.0025821179928398903,0.8791497465936758,2.403109635974033,무시할 수준,sadness,disgust
