feature,pooled_epsilon_sq,gender_epsilon_sq,male_within_epsilon_sq,female_within_epsilon_sq,male_female_rank_corr,type
f007_dominant_scale_period_sec,0.0029743795276764387,-0.0007030453906840186,0.010203790064688552,0.00855598664710514,-0.1785714285714286,B_gender_dependent
f007_microprosody_energy,0.00692314076610366,0.1772394975017874,0.017157528050851793,0.0019506144526607227,-0.1785714285714286,B_gender_dependent
f007_microprosody_energy_ratio,0.0026558628039473433,0.0012455418535733322,-0.004124058984339465,0.001478778629763705,-0.6071428571428572,D_no_effect_anywhere
f007_microprosody_entropy,0.01996431223108526,0.00201700465754031,0.025163190882644494,0.025527236248367974,0.28571428571428575,B_gender_dependent
f007_microprosody_peak_density,0.004271399028236829,0.01310149862399139,0.01884385510061901,-0.0005740949648698013,0.28571428571428575,B_gender_dependent
f007_microprosody_sign_change_rate,-0.0008497459910270503,0.0001419109272769218,-0.004321809980176806,-0.001062184675368876,-0.07142857142857144,D_no_effect_anywhere
f007_microprosody_variance,-0.0010179109505492475,0.13631954410030683,-0.0022767010164013194,-0.0016844257953780328,0.1785714285714286,D_no_effect_anywhere
f007_phrase_energy,0.005327940317765986,0.14708134530431058,0.01487339137054461,0.00042789734068619095,0.28571428571428575,B_gender_dependent
f007_phrase_energy_ratio,-0.0025821179928398903,0.0009247277688296052,-0.006876691907938914,-0.0029188915269928325,0.21428571428571433,D_no_effect_anywhere
f007_phrase_entropy,0.015430546869732288,0.011393534315485523,0.04384157212079024,0.02015327775976022,0.25,B_gender_dependent
f007_phrase_peak_density,-0.001320578334506628,0.0025130488460325317,-0.008385170274181885,-0.0017920832364807814,-0.10714285714285716,D_no_effect_anywhere
f007_phrase_sign_change_rate,-0.0022324016720235208,0.000508333377100868,0.007722307812028802,-0.0003086756866130465,-0.6071428571428572,B_gender_dependent
f007_phrase_variance,0.0002529150142612549,0.1376750884666446,-0.006653211835020522,0.0034887880091633737,0.6785714285714287,D_no_effect_anywhere
f007_syllable_energy,0.01474686266186417,0.14611917978420716,0.03104247480322072,0.014895378293404442,-0.25,B_gender_dependent
f007_syllable_energy_ratio,0.0064373625765495905,0.0018729435961945904,-0.004870980394076146,0.008417280726843394,-0.25,B_gender_dependent
f007_syllable_entropy,0.022758839998180944,0.014285765532737353,0.029147714267167196,0.029093238450376806,0.10714285714285716,B_gender_dependent
f007_syllable_peak_density,0.001977715020438618,0.0067896783205406135,0.015173520351039223,-0.00060299202911814,-0.07142857142857144,B_gender_dependent
f007_syllable_sign_change_rate,-0.0018250681523452128,-0.00045949825467882634,-0.0015775678690148048,0.0015059733070598904,-0.3571428571428572,D_no_effect_anywhere
f007_syllable_variance,0.0046769973188932334,0.13418910199415077,0.004773876575525289,0.003370958041390124,-0.3214285714285715,D_no_effect_anywhere
f007_utterance_energy,0.0016758053057690325,0.09181788862007675,0.008909547176820517,-0.0005997510396284352,-0.14285714285714288,B_gender_dependent
f007_utterance_energy_ratio,-0.0019127947182836964,-9.414519300861912e-05,-0.0049338914100104945,-0.0011163642584820234,-0.21428571428571433,D_no_effect_anywhere
f007_utterance_entropy,0.008850559395986687,0.00812226523616285,0.04192547174225548,0.012432914638463069,-0.14285714285714288,B_gender_dependent
f007_utterance_peak_density,-0.0007205548695069133,0.012475822746112062,0.015267051271556737,-0.004292614008113593,-0.07142857142857144,B_gender_dependent
f007_utterance_sign_change_rate,0.0004330613534955538,-0.0005555912272537615,0.0008600223454602867,0.0013699805573808804,-0.42857142857142866,D_no_effect_anywhere
f007_utterance_variance,-0.0013157208320617475,0.0820303974231981,-0.007081537538087748,0.0018441689471100893,0.3214285714285715,D_no_effect_anywhere
f007_word_energy,0.00639867343534957,0.16259443545298866,0.03142446120102154,0.0009739145412729555,0.07142857142857144,B_gender_dependent
f007_word_energy_ratio,0.0025771863732417816,-0.00042722906047234723,-0.005808662591919049,0.005338718247907384,-0.25,B_gender_dependent
f007_word_entropy,0.020014089852311234,0.014849474472595936,0.037644512060478766,0.02817042133184892,0.14285714285714288,B_gender_dependent
f007_word_peak_density,-0.0016062595643367135,-0.0006956405451622794,0.0026881289242543546,-0.002772564543213031,0.14285714285714288,D_no_effect_anywhere
f007_word_sign_change_rate,0.0022175207148688813,-0.000690369590355124,-0.0021356439649610716,0.005691189732121623,0.0,B_gender_dependent
f007_word_variance,-0.0010664250325616914,0.16111520559280743,0.005061383118529452,-0.0012772290145134629,-0.25,B_gender_dependent
