new_feature,max_abs_rho,most_correlated_existing,most_correlated_existing_rho,top5_correlated_existing
f007_utterance_energy,0.7527816494725418,pitch_std,0.7527816494725418,pitch_std=0.753; note_interval_semitone_std=0.704; pitch_std_gender_z=0.661; note_interval_semitone_mean=0.574; n_periods=0.513
f007_utterance_energy_ratio,0.47105933948274864,longest_pause_dur,0.47105933948274864,longest_pause_dur=0.471; pause_dur_mean=0.471; total_pause_ratio=0.408; pitch_std_gender_z=0.407; pause_dur_std=0.356
f007_utterance_entropy,0.9603312833016321,n_valid_formant_frames,0.9603312833016321,n_valid_formant_frames=0.960; n_valid_frames=0.960; n_frames=0.960; n_voiced_pitch_frames=0.881; n_hnr_frames=0.881
f007_utterance_peak_density,0.30534220127332035,total_pause_ratio,-0.30534220127332035,total_pause_ratio=-0.305; pause_dur_mean=-0.280; longest_pause_dur=-0.254; melodic_dissonance_mean=0.205; pitch_median=0.196
f007_utterance_sign_change_rate,0.2898723097552209,pause_dur_mean,-0.2898723097552209,pause_dur_mean=-0.290; longest_pause_dur=-0.271; total_pause_ratio=-0.261; notes_per_sec=0.256; pitch_class_entropy=0.224
f007_utterance_variance,0.7681876019559788,pitch_std,0.7681876019559788,pitch_std=0.768; note_interval_semitone_std=0.737; pitch_std_gender_z=0.699; note_interval_semitone_mean=0.631; longest_pause_dur=0.273
f007_word_energy,0.683082178857721,n_periods,0.683082178857721,n_periods=0.683; pitch_std=0.679; note_interval_semitone_std=0.676; note_interval_semitone_mean=0.634; n_notes=0.624
f007_word_energy_ratio,0.4820937168116632,pitch_std_gender_z,-0.4820937168116632,pitch_std_gender_z=-0.482; pause_dur_mean=-0.418; pitch_std=-0.408; longest_pause_dur=-0.379; total_pause_ratio=-0.371
f007_word_entropy,0.9109438870666408,n_valid_formant_frames,0.9109438870666408,n_valid_formant_frames=0.911; n_valid_frames=0.911; n_frames=0.911; n_notes=0.909; n_voiced_pitch_frames=0.901
f007_word_peak_density,0.4500821393643267,notes_per_sec,0.4500821393643267,notes_per_sec=0.450; voiced_ratio=0.346; f1_mean=-0.293; longest_pause_dur=-0.290; ioi_std=-0.283
f007_word_sign_change_rate,0.5016556629361674,notes_per_sec,0.5016556629361674,notes_per_sec=0.502; voiced_ratio=0.356; f1_mean=-0.311; pct_flat=-0.289; hist_flat=-0.289
f007_word_variance,0.7315782172775162,note_interval_semitone_mean,0.7315782172775162,note_interval_semitone_mean=0.732; note_interval_semitone_std=0.717; pitch_std=0.674; interval_abs_std=0.598; hist_large_fall=0.538
