new_feature,max_abs_rho,most_correlated_existing,most_correlated_existing_rho,top5_correlated_existing
f007_dominant_scale_period_sec,0.46904324396081465,longest_pause_dur,0.46904324396081465,longest_pause_dur=0.469; n_frames=0.431; n_valid_formant_frames=0.431; n_valid_frames=0.431; pause_dur_std=0.423
f007_microprosody_energy,0.6628108658656021,pitch_std,0.6628108658656021,pitch_std=0.663; n_periods=0.608; note_interval_semitone_std=0.554; n_notes=0.469; pitch_median=0.468
f007_microprosody_energy_ratio,0.4734775835936869,longest_pause_dur,-0.4734775835936869,longest_pause_dur=-0.473; pause_dur_mean=-0.471; total_pause_ratio=-0.464; pitch_std_gender_z=-0.427; note_interval_semitone_std=-0.390
f007_microprosody_entropy,0.8759255924658951,n_notes,0.8759255924658951,n_notes=0.876; n_voiced_pitch_frames=0.829; n_hnr_frames=0.829; n_intervals=0.825; n_frames=0.792
f007_microprosody_peak_density,0.4516214453188904,notes_per_sec,0.4516214453188904,notes_per_sec=0.452; melodic_dissonance_mean=0.418; pct_flat=-0.387; hist_flat=-0.387; f3_mean=-0.361
f007_microprosody_sign_change_rate,0.6124130202768766,notes_per_sec,0.6124130202768766,notes_per_sec=0.612; voiced_ratio=0.576; f1_mean=-0.410; f2_mean=-0.339; ioi_mean=-0.325
f007_microprosody_variance,0.6030695919451271,pitch_std,0.6030695919451271,pitch_std=0.603; note_interval_semitone_std=0.522; note_interval_semitone_mean=0.456; hist_large_fall=0.450; interval_abs_std=0.450
f007_phrase_energy,0.7679618805984605,note_interval_semitone_std,0.7679618805984605,note_interval_semitone_std=0.768; pitch_std=0.760; note_interval_semitone_mean=0.665; n_periods=0.614; pitch_std_gender_z=0.592
f007_phrase_energy_ratio,0.474244895519881,longest_pause_dur,-0.474244895519881,longest_pause_dur=-0.474; pause_dur_mean=-0.461; total_pause_ratio=-0.398; pause_dur_std=-0.363; pitch_std_gender_z=-0.346
f007_phrase_entropy,0.9478829667178708,n_frames,0.9478829667178708,n_frames=0.948; n_valid_formant_frames=0.948; n_valid_frames=0.948; n_voiced_pitch_frames=0.887; n_hnr_frames=0.887
f007_phrase_peak_density,0.22542779838246113,notes_per_sec,0.22542779838246113,notes_per_sec=0.225; pause_dur_mean=-0.200; total_pause_ratio=-0.185; ioi_mean=-0.184; longest_pause_dur=-0.178
f007_phrase_sign_change_rate,0.41451626229939886,notes_per_sec,0.41451626229939886,notes_per_sec=0.415; f1_mean=-0.296; pause_dur_mean=-0.291; total_pause_ratio=-0.279; interval_abs_mean=0.262
f007_phrase_variance,0.8062483070053242,note_interval_semitone_std,0.8062483070053242,note_interval_semitone_std=0.806; pitch_std=0.762; note_interval_semitone_mean=0.745; pitch_std_gender_z=0.610; interval_abs_std=0.350
f007_syllable_energy,0.694792493040555,n_periods,0.694792493040555,n_periods=0.695; interval_abs_std=0.677; n_notes=0.667; interval_abs_mean=0.622; pitch_std=0.603
f007_syllable_energy_ratio,0.5163923494713154,pitch_std_gender_z,-0.5163923494713154,pitch_std_gender_z=-0.516; note_interval_semitone_std=-0.498; pitch_std=-0.461; pause_dur_mean=-0.385; total_pause_ratio=-0.377
f007_syllable_entropy,0.9370514064591248,n_notes,0.9370514064591248,n_notes=0.937; n_voiced_pitch_frames=0.888; n_hnr_frames=0.888; n_intervals=0.881; n_valid_formant_frames=0.864
f007_syllable_peak_density,0.3357565703438713,notes_per_sec,0.3357565703438713,notes_per_sec=0.336; pct_rising=0.260; f1_mean=-0.259; hist_small_rise=0.251; pct_flat=-0.251
f007_syllable_sign_change_rate,0.5419979756305495,notes_per_sec,0.5419979756305495,notes_per_sec=0.542; voiced_ratio=0.453; f1_mean=-0.348; pct_flat=-0.293; hist_flat=-0.293
f007_syllable_variance,0.7707841396128993,interval_abs_std,0.7707841396128993,interval_abs_std=0.771; interval_abs_mean=0.717; hist_large_fall=0.690; hist_large_rise=0.592; note_interval_semitone_mean=0.590
