feature,label,epsilon_sq,p_value,h_stat,effect_label,lowest_group,highest_group
f010_inter_harmonic_modulation_coherence,situation,0.05009961317315025,2.6406469120398592e-14,75.7887611501983,중간,surprise,sadness
f010_h1_modulation_entropy,situation,0.040910441294441234,1.1098574302065531e-11,62.98824472315664,중간,sadness,surprise
f010_h2_modulation_entropy,situation,0.039692993965148984,2.4580069747746925e-11,61.292340593452536,작음,sadness,surprise
f010_h5_modulation_entropy,situation,0.033271306363570216,1.5880216961396949e-09,52.34692976445331,작음,sadness,surprise
f010_h3_modulation_entropy,situation,0.02779136006914812,5.3358537846998374e-08,44.71336457632333,작음,sadness,surprise
f010_h4_modulation_entropy,situation,0.022036704740325395,2.017184320129697e-06,36.697129703273276,작음,sadness,surprise
f010_modulation_low_rate_ratio_mean,situation,0.020276021500677296,6.034153094464396e-06,34.244497950443474,작음,surprise,sadness
f010_h2_modulation_centroid,situation,0.019127776363791923,1.2270600550724431e-05,32.64499247476215,작음,sadness,surprise
f010_h4_modulation_low_rate_energy,situation,0.019110857965042916,1.2399218212268143e-05,32.621425145304784,작음,fear,angry
f010_h5_modulation_centroid,situation,0.018756319024656347,1.5424102988780796e-05,32.12755240134629,작음,sadness,surprise
f010_h4_modulation_bandwidth,situation,0.018585176461339076,1.71356364308998e-05,31.889150810645333,작음,sadness,surprise
f010_h4_modulation_centroid,situation,0.01759046862156739,3.1525085289318137e-05,30.503522789843373,작음,sadness,happiness
f010_h5_modulation_bandwidth,situation,0.017061615774541863,4.353020106330691e-05,29.766830773936817,작음,sadness,surprise
f010_h5_modulation_low_rate_energy,situation,0.016704142396200914,5.4106949827358584e-05,29.268870357907872,작음,fear,surprise
f010_h4_modulation_high_rate_energy,situation,0.01590982153699926,8.757156944831635e-05,28.162381401039966,작음,fear,angry
f010_h2_modulation_dominant_freq,situation,0.01554527800063296,0.000109131525002034,27.654572254881714,작음,sadness,happiness
f010_h1_modulation_centroid,situation,0.015469766171239942,0.00011421392909024452,27.54938427653724,작음,sadness,surprise
f010_h3_modulation_low_rate_energy,situation,0.014864518589978105,0.00016435119751916931,26.7062743958395,작음,fear,sadness
f010_h5_modulation_high_rate_energy,situation,0.014158386917764042,0.0002507463784627357,25.72263297644531,작음,fear,disgust
f010_h3_modulation_high_rate_energy,situation,0.013036935145508412,0.00048792854857403835,24.160450657693218,작음,fear,angry
f010_h2_modulation_bandwidth,situation,0.01120477289212324,0.0014255147160373552,21.608248638727673,작음,sadness,surprise
f010_modulation_dominant_freq_mean,situation,0.011201249220813824,0.0014284276351820076,21.603340164593657,작음,sadness,happiness
f010_h2_modulation_low_rate_energy,situation,0.009407375952435843,0.003990781963922203,19.10447470174313,무시할 수준,fear,disgust
f010_h3_modulation_centroid,situation,0.007787353627816312,0.009859245974222622,16.847783603548123,무시할 수준,sadness,neutral
f010_h2_modulation_high_rate_energy,situation,0.006994507388140443,0.015199859404644118,15.743348791679637,무시할 수준,fear,disgust
f010_h1_modulation_bandwidth,situation,0.006528088021280121,0.01954087767080268,15.09362661364321,무시할 수준,sadness,surprise
f010_h3_modulation_bandwidth,situation,0.0052523014934829715,0.03827696852291669,13.316455980421779,무시할 수준,sadness,neutral
f010_h1_modulation_dominant_freq,situation,0.004284680764821064,0.06267387177247014,11.968560305395743,무시할 수준,fear,surprise
f010_h5_modulation_dominant_freq,situation,0.00378470855636762,0.08032222540729635,11.272099019020095,무시할 수준,sadness,surprise
f010_h4_modulation_dominant_freq,situation,0.0024625209587802776,0.15078550881039987,9.430291695580927,무시할 수준,fear,angry
f010_h3_modulation_dominant_freq,situation,0.0015192283311909474,0.22970718998721867,8.11628506534899,무시할 수준,sadness,happiness
f010_h1_modulation_low_rate_energy,situation,0.000832134451921074,0.30637848636066417,7.159163291526056,무시할 수준,fear,surprise
f010_h1_modulation_high_rate_energy,situation,0.0007461801864277691,0.31721622436337993,7.039428999693882,무시할 수준,sadness,surprise
