feature,pooled_epsilon_sq,gender_epsilon_sq,male_within_epsilon_sq,female_within_epsilon_sq,male_female_rank_corr,type
f010_h1_modulation_bandwidth,0.006528088021280121,0.09522822308180157,0.013787453595397736,0.005911272124677063,0.6785714285714287,E_ambiguous
f010_h1_modulation_centroid,0.015469766171239942,0.08243838070917818,0.014577886548147978,0.006933062508553544,0.6071428571428572,A_robust
f010_h1_modulation_dominant_freq,0.004284680764821064,0.009901074033782035,0.0025256558538981947,0.008162738686367342,-0.14285714285714288,B_gender_dependent
f010_h1_modulation_entropy,0.040910441294441234,0.09434531562211201,0.02618796867630968,0.03826843467622248,0.3214285714285715,B_gender_dependent
f010_h1_modulation_high_rate_energy,0.0007461801864277691,-0.00022522736491687863,-0.0005885074270364746,0.00017905115431144614,0.07142857142857144,D_no_effect_anywhere
f010_h1_modulation_low_rate_energy,0.000832134451921074,0.00440356731882892,0.0066924016519434555,-0.002265250523030259,-0.3214285714285715,B_gender_dependent
f010_h2_modulation_bandwidth,0.01120477289212324,0.07386393510877222,0.03327327922886892,0.0014972440387849269,0.8214285714285715,A_robust
f010_h2_modulation_centroid,0.019127776363791923,0.11667787066103034,0.03587468504443672,0.004291585961419035,0.6071428571428572,A_robust
f010_h2_modulation_dominant_freq,0.01554527800063296,0.025909237102443018,0.002943998426742808,0.009655056064974224,0.7142857142857144,A_robust
f010_h2_modulation_entropy,0.039692993965148984,0.11926598247096659,0.023951222396227857,0.029819859307616155,0.42857142857142866,B_gender_dependent
f010_h2_modulation_high_rate_energy,0.006994507388140443,0.004127264678916979,-0.0039017853292786535,0.006758599621664385,-0.3571428571428572,B_gender_dependent
f010_h2_modulation_low_rate_energy,0.009407375952435843,0.017873853250376347,0.0039367187541646705,0.0053754799062255216,-0.3571428571428572,B_gender_dependent
f010_h3_modulation_bandwidth,0.0052523014934829715,0.04147526321195543,0.01420362159697644,0.007571153586419544,0.28571428571428575,B_gender_dependent
f010_h3_modulation_centroid,0.007787353627816312,0.032283642143392584,0.018197163385352308,0.0072154165292628,0.3214285714285715,B_gender_dependent
f010_h3_modulation_dominant_freq,0.0015192283311909474,0.031232775457497475,0.001677486629478718,-0.002398696023912146,0.21428571428571433,D_no_effect_anywhere
f010_h3_modulation_entropy,0.02779136006914812,0.056937118216974496,0.02525636951951331,0.02497911546973325,0.5357142857142858,A_robust
f010_h3_modulation_high_rate_energy,0.013036935145508412,0.04688561824953771,-0.0042633514840900635,0.009141059485449915,0.07142857142857144,B_gender_dependent
f010_h3_modulation_low_rate_energy,0.014864518589978105,0.05716281777790527,0.0042465188360087495,0.007254225396712888,-0.10714285714285716,B_gender_dependent
f010_h4_modulation_bandwidth,0.018585176461339076,0.10215233517750434,0.02817867248393641,0.008895135368127227,0.642857142857143,A_robust
f010_h4_modulation_centroid,0.01759046862156739,0.052055856033258616,0.043780509271161255,0.008407104980824533,0.3214285714285715,B_gender_dependent
f010_h4_modulation_dominant_freq,0.0024625209587802776,0.02633342698041111,-0.0010852719792579376,0.00032150419130268053,-0.5357142857142858,D_no_effect_anywhere
f010_h4_modulation_entropy,0.022036704740325395,0.062030274573428246,0.021194518612748642,0.02713176214811109,0.03571428571428572,B_gender_dependent
f010_h4_modulation_high_rate_energy,0.01590982153699926,0.06752803551076594,0.0048728304965660885,0.009205562280563535,0.14285714285714288,B_gender_dependent
f010_h4_modulation_low_rate_energy,0.019110857965042916,0.07866357392952383,0.014352400842413057,0.010150782525696376,0.642857142857143,A_robust
f010_h5_modulation_bandwidth,0.017061615774541863,0.10823799938851202,0.009031031350438694,0.011764659055075068,0.5,A_robust
f010_h5_modulation_centroid,0.018756319024656347,0.07163150578877889,0.025323446782821182,0.009355719359589253,0.642857142857143,A_robust
f010_h5_modulation_dominant_freq,0.00378470855636762,0.007768334986859058,0.013885390848461729,0.0028165898485724393,-0.3214285714285715,B_gender_dependent
f010_h5_modulation_entropy,0.033271306363570216,0.08028161234925861,0.025056573533612618,0.03200604062893383,0.1785714285714286,B_gender_dependent
f010_h5_modulation_high_rate_energy,0.014158386917764042,0.051407038286410994,0.00217360313414303,0.01081850679804014,-0.28571428571428575,B_gender_dependent
f010_h5_modulation_low_rate_energy,0.016704142396200914,0.06858404195702747,0.010902000317157696,0.009855293949717984,-0.39285714285714296,B_gender_dependent
f010_inter_harmonic_modulation_coherence,0.05009961317315025,0.286819065264816,0.024405884145965635,0.0345729717223127,0.5,A_robust
f010_modulation_dominant_freq_mean,0.011201249220813824,0.047638703383178806,0.015289369074333392,0.00427438151095905,-0.03571428571428572,B_gender_dependent
f010_modulation_low_rate_ratio_mean,0.020276021500677296,0.059952639792647436,0.027689233143460553,0.01198746187480073,0.7500000000000002,A_robust
