feature,pooled_epsilon_sq,gender_epsilon_sq,male_within_epsilon_sq,female_within_epsilon_sq,male_female_rank_corr,type
f009_cross_harmonic_coherence_mean,-0.0019836633677505528,0.013579808125824601,0.020170823747440454,0.017668003658774738,-0.8214285714285715,B_gender_dependent
f009_h2_phase_circular_variance,0.004741052287614028,0.0008729328869340629,0.036477214381959805,-8.70789364554728e-05,0.3214285714285715,B_gender_dependent
f009_h2_phase_resultant_length,0.004741052287614028,0.0008729328869340629,0.036477214381961026,-8.70789364554728e-05,0.3214285714285715,B_gender_dependent
f009_h3_phase_circular_variance,0.014386113454129528,0.012499201633695734,0.038945934379745924,0.002885742310999891,0.7142857142857144,A_robust
f009_h3_phase_resultant_length,0.014386113454129528,0.012499201633696385,0.038945934379745924,0.002885742310999891,0.7142857142857144,A_robust
f009_h4_phase_circular_variance,0.012744428738105442,0.008806085033463956,0.0115006755979134,0.008858338268154489,0.7500000000000002,A_robust
f009_h4_phase_resultant_length,0.012744428738105442,0.008806085033463956,0.01150067559791401,0.008858338268154936,0.7500000000000002,A_robust
f009_h5_phase_circular_variance,0.007154428129810902,0.0067827477750304205,-0.00010528344750303902,0.004744527502086961,0.9642857142857145,D_no_effect_anywhere
f009_h5_phase_resultant_length,0.007154428129810902,0.0067827477750304205,-0.0001052834475024278,0.004744527502086961,0.9642857142857145,D_no_effect_anywhere
f009_mean_phase_coherence,0.01326858924259008,0.006525880110583471,0.03411826442860453,0.0042628201055496286,0.7500000000000002,A_robust
f009_temporal_phase_instability,-0.0029908683389853197,0.023701098008490712,0.03412227619671874,0.006078170280922069,-0.9642857142857145,B_gender_dependent
