feature,n,nan_pct,inf_pct,zero_pct,is_constant,mean,std,median,iqr,min,max,outlier_pct_iqr1.5
f009_cross_harmonic_coherence_mean,1400,0.0,0.0,0.0,False,0.4497668822528599,0.03764673546636969,0.45003115519978054,0.04105896058981584,0.3202180059980983,0.6172854440010733,4.142857142857142
f009_h2_phase_circular_variance,1400,0.0,0.0,0.0,False,0.7848738067625544,0.10836148824163838,0.7961228290709004,0.15002959166501928,0.3927477443513748,0.9946656728440064,1.0714285714285714
f009_h2_phase_resultant_length,1400,0.0,0.0,0.0,False,0.21512619323744564,0.1083614882416384,0.2038771709290996,0.15002959166501936,0.0053343271559935,0.6072522556486252,1.0714285714285714
f009_h3_phase_circular_variance,1400,0.0,0.0,0.0,False,0.8896752400211835,0.07068860592786863,0.9044624704479439,0.09157272832815722,0.5834491477982845,0.9982974493000047,2.5
f009_h3_phase_resultant_length,1400,0.0,0.0,0.0,False,0.11032475997881644,0.07068860592786864,0.095537529552056,0.0915727283281573,0.0017025506999952,0.4165508522017155,2.5
f009_h4_phase_circular_variance,1400,0.0,0.0,0.0,False,0.921070285927818,0.05136710867888502,0.9318680822757184,0.06026856134209002,0.5797816909933253,0.9969348404182568,3.214285714285714
f009_h4_phase_resultant_length,1400,0.0,0.0,0.0,False,0.07892971407218202,0.05136710867888502,0.06813191772428145,0.06026856134208998,0.0030651595817431,0.4202183090066747,3.214285714285714
f009_h5_phase_circular_variance,1400,0.0,0.0,0.0,False,0.9358911347170792,0.040765951562555955,0.9436534430464053,0.04906381163864171,0.7053350499913292,0.9991871040024722,2.7857142857142856
f009_h5_phase_resultant_length,1400,0.0,0.0,0.0,False,0.06410886528292081,0.04076595156255596,0.056346556953594695,0.049063811638641555,0.0008128959975278,0.2946649500086707,2.7857142857142856
f009_mean_phase_coherence,1400,0.0,0.0,0.0,False,0.11712238314284122,0.054584950089332486,0.10533598636025035,0.0660461120116111,0.0202508193028686,0.4241750559212846,3.5000000000000004
f009_temporal_phase_instability,1400,0.0,0.0,0.0,False,0.22306529518556134,0.012403524296335849,0.22216657038674795,0.014576808903738803,0.1750286073983917,0.2876739818746541,2.7857142857142856
