condition,true_jitter_std,true_shimmer_std,conventional_jitter_gtmarks,conventional_shimmer_gtmarks,residual_jitter_oracle,residual_shimmer_oracle,residual_jitter_pyin,residual_shimmer_pyin,pyin_n_voiced_frames,residual_jitter_world_harvest,residual_shimmer_world_harvest,residual_jitter_fallback,residual_shimmer_fallback,existing_repo_jitter,existing_repo_shimmer,praat_jitter,praat_shimmer
A_stable_with_jitter,0.012,0.035,0.01189107685306719,0.03909953986702819,0.01189107685306719,0.03821939798428334,0.012160659375156129,0.03821939798428334,101,0.011442605523716695,0.03821939798428334,0.012379008578041069,0.03821939798428334,0.15950466772350974,0.033100809328508875,0.010835075404205313,0.03237578714268922
B_glide_no_jitter,0.0,0.0,0.00604715433674439,0.00043113699981244636,0.0040154142721430894,0.00046417253706734356,0.0045021217535065085,0.00046417253706734356,101,0.004212699058415115,0.00046417253706734356,0.004211411055946995,0.00046417253706734356,0.1435278497616534,0.06111422705127056,0.005884955773900142,0.0004969084356280962
C_glide_with_jitter,0.012,0.035,0.014549142721247844,0.04288309614026571,0.013810051797773644,0.042983889483912026,0.014004484644758739,0.042983889483912026,101,0.013290735599434118,0.042983889483912026,0.014576135564886525,0.042983889483912026,0.15252916679997014,0.0574272680106339,0.013390836241353527,0.03603099820809446
D_vibrato_no_jitter,0.0,0.0,0.0034653673289368717,0.00043964217201634444,0.004352665887899693,0.0005221613988811488,0.0038725526391441014,0.0005221613988811488,101,0.004204663855552153,0.0005221613988811488,0.004230448427533339,0.0005221613988811488,0.12557593254814478,0.040401359509584664,0.0034523861342979556,0.00037079093761467375
E_vibrato_with_jitter,0.012,0.035,0.014683316160785458,0.034741718092910434,0.014968939807210417,0.03533824978025473,0.014845297784633248,0.03533824978025473,101,0.014741491448490305,0.03533824978025473,0.015088435245540413,0.03533824978025473,0.17060070207670358,0.04704587377432206,0.01333875845076151,0.029530795532388986
F_fast_accent_no_jitter,0.0,0.0,0.038450938458537615,0.002359937533396715,0.003545113455433933,0.0023861106697519994,0.018946317217040546,0.0023861106697519994,0,0.01119795300351467,0.0023861106697519994,0.018946317217040546,0.0023861106697519994,0.09182100738252441,0.03584609513462707,0.03841204469178982,0.00351820373959379
G_fast_accent_with_jitter,0.012,0.035,0.03935315356033573,0.040121611645873974,0.015240150514920439,0.039981067852480415,0.023136194675582013,0.039981067852480415,0,0.017776939540104706,0.039981067852480415,0.023136194675582013,0.039981067852480415,0.13902563265434567,0.0494569535941545,0.03910882781833256,0.03323188038561062
